model,row_id,llm_cor,llm_syn,llm_sem,paper_table_successes_all_rewrites,sem_only_successes,successes_outside_sem,success_ids_outside_sem
pro,balancedBST-Balanced,0,0,10,0,0,0,
pro,balancedBST-Sorted,0,0,10,0,0,0,
pro,cd-Acyclic,0,0,10,7,7,0,
pro,cd-AllExtObject,0,0,10,10,10,0,
pro,cd-ObjectNoExt,0,0,10,10,10,0,
pro,dll-ConsistentPreAndNxt,0,0,10,10,10,0,
pro,dll-Sorted,0,0,10,7,7,0,
pro,dll-UniqueElem,0,0,10,9,9,0,
pro,farmer-crossRiver,0,0,10,0,0,0,
pro,grade-PolicyAllowsGrading,0,0,10,0,0,0,
pro,student-Contains,0,0,10,1,1,0,
pro,student-Loop,0,0,10,0,0,0,
pro,student-Sorted,0,1,9,9,9,0,
pro,Total,0,1,129,63,63,0,
flash,balancedBST-Balanced,0,0,10,0,0,0,
flash,balancedBST-Sorted,0,0,10,0,0,0,
flash,cd-Acyclic,0,1,9,3,3,0,
flash,cd-AllExtObject,0,0,10,9,9,0,
flash,cd-ObjectNoExt,0,0,10,9,9,0,
flash,dll-ConsistentPreAndNxt,0,0,10,10,10,0,
flash,dll-Sorted,0,0,10,8,8,0,
flash,dll-UniqueElem,0,0,10,8,8,0,
flash,farmer-crossRiver,0,3,7,2,0,2,farmer_crossRiver_llm_2;farmer_crossRiver_llm_9
flash,grade-PolicyAllowsGrading,0,0,10,0,0,0,
flash,student-Contains,0,1,9,0,0,0,
flash,student-Loop,0,0,10,0,0,0,
flash,student-Sorted,0,0,10,10,10,0,
flash,Total,0,5,125,59,57,2,
lite,balancedBST-Balanced,0,5,5,0,0,0,
lite,balancedBST-Sorted,0,0,10,0,0,0,
lite,cd-Acyclic,0,1,9,3,3,0,
lite,cd-AllExtObject,0,1,9,8,8,0,
lite,cd-ObjectNoExt,0,1,9,9,9,0,
lite,dll-ConsistentPreAndNxt,0,0,10,8,8,0,
lite,dll-Sorted,0,0,10,8,8,0,
lite,dll-UniqueElem,0,1,9,9,9,0,
lite,farmer-crossRiver,2,3,5,0,0,0,
lite,grade-PolicyAllowsGrading,0,0,10,0,0,0,
lite,student-Contains,0,1,9,7,7,0,
lite,student-Loop,0,0,10,0,0,0,
lite,student-Sorted,0,0,10,10,10,0,
lite,Total,2,13,115,62,62,0,
